Call Distribution Report
Call Report
Date, Inbound, Outbound, Total Calls
01-01-2022, 23, 0, 23
02-01-2022, 0, 0, 0
03-01-2022, 0, 0, 0
04-01-2022, 0, 0, 0
05-01-2022, 0, 1, 1
06-01-2022, 0, 0, 0
07-01-2022, 0, 0, 0
08-01-2022, 0, 0, 0
09-01-2022, 0, 0, 0
10-01-2022, 0, 0, 0
11-01-2022, 0, 1, 1
12-01-2022, 0, 4, 4
13-01-2022, 0, 1, 1
14-01-2022, 0, 1, 1
15-01-2022, 0, 0, 0
16-01-2022, 0, 0, 0
17-01-2022, 0, 0, 0
18-01-2022, 0, 0, 0
19-01-2022, 14, 0, 14
20-01-2022, 0, 0, 0
21-01-2022, 148, 0, 148
22-01-2022, 57, 2, 59
23-01-2022, 0, 0, 0
24-01-2022, 23, 0, 23
25-01-2022, 21, 0, 21
26-01-2022, 10, 0, 10
27-01-2022, 36, 0, 36
28-01-2022, 32, 3, 35
29-01-2022, 39, 3, 42
30-01-2022, 0, 0, 0
31-01-2022, 83, 0, 83
