<tag1>Call Distribution Report</tag1>
<tag1>Call Report</tag1>
<tag2>Hours</tag2>, <tag2>Inbound</tag2>, <tag2>Outbound</tag2>, <tag2>Total Calls</tag2>
0:00:00 to 0:59:59, 0, 0, 0
1:00:00 to 1:59:59, 0, 0, 0
2:00:00 to 2:59:59, 0, 0, 0
3:00:00 to 3:59:59, 0, 0, 0
4:00:00 to 4:59:59, 0, 0, 0
5:00:00 to 5:59:59, 0, 0, 0
6:00:00 to 6:59:59, 0, 0, 0
7:00:00 to 7:59:59, 0, 0, 0
8:00:00 to 8:59:59, 0, 0, 0
9:00:00 to 9:59:59, 4, 0, 4
10:00:00 to 10:59:59, 4, 0, 4
11:00:00 to 11:59:59, 5, 0, 5
12:00:00 to 12:59:59, 14, 0, 14
13:00:00 to 13:59:59, 3, 0, 3
14:00:00 to 14:59:59, 0, 0, 0
15:00:00 to 15:59:59, 9, 0, 9
16:00:00 to 16:59:59, 6, 4, 10
17:00:00 to 17:59:59, 0, 0, 0
18:00:00 to 18:59:59, 1, 0, 1
19:00:00 to 19:59:59, 0, 0, 0
20:00:00 to 20:59:59, 0, 0, 0
21:00:00 to 21:59:59, 0, 0, 0
22:00:00 to 22:59:59, 0, 0, 0
23:00:00 to 23:59:59, 0, 0, 0

