.From01-01-2022 To 19-01-2022
,,INBOUND CALL,, OUTBOUND CALL
DATE,  AGENT , NO, DURATION, NO, DURATION, ABANDONED, DROP, BREAK, ASSIGNMENT, LOGIN TIME, BUSY TIME, TIME DURATION, LOGOUT TIME, DEPART
01-01-2022,3001,,,,,0,0,,,,0,,,NCS
03-01-2022,3001,,,,,0,0,,,12:54:36 PM,0,01:11:59,02:06:35 PM,NCS
06-01-2022,3002,,,,,0,0,,,,0,,,NCS
07-01-2022,3001,,,,,0,0,00:00:22,,,0,,,NCS
12-01-2022,3001,,,,,0,0,00:01:24,,,0,,,NCS
13-01-2022,3001,,,,,0,0,,,,0,,,NCS
14-01-2022,3001,,,,,0,0,,,01:50:39 PM,0,00:50:34,04:55:15 PM,NCS
14-01-2022,3002,,,,,0,0,,,03:12:34 PM,0,00:55:24,04:07:58 PM,NCS
15-01-2022,3001,,,,,0,0,,,,0,,,NCS
15-01-2022,3002,1,00:00:03,,,0,3,00:00:17,,04:11:50 PM,687773,00:52:19,05:04:09 PM,NCS
16-01-2022,3001,,,,,0,0,,,09:40:41 PM,0,01:00:18,10:40:59 PM,NCS
17-01-2022,3001,3,00:07:34,3,00:00:51,0,4,,,05:21:35 AM,6040798,06:17:44,11:44:32 AM,NCS.
