SYMBOL,NAME, Open Position Before Release ,, Current Day Release ,, Current Day Take-up ,, Markup Weighted  Average , Net Open Position ,,
,, Volume , Value , Volume , Value , Volume , Value ,, Volume , Value , % 
ABL,ALLIED BANK LIMITED," 24,200 "," 1,694,316 ", -   , -   , -   , -   , -   ," 24,200 "," 1,694,316 ", 0 
ABOT,ABBOTT LABORATORIES (PAKISTAN) LIMITED, 600 ," 306,000 ", -   , -   , -   , -   , -   , 600 ," 306,000 ", 0 
ACPL,ATTOCK CEMENT PAKISTAN LIMITED, 500 ," 65,250 ", -   , -   , -   , -   , -   , 500 ," 65,250 ", 0 
AGIC,ASKARI GENERAL INSURANCE COMPANY LTD," 75,000 "," 1,822,500 ", -   , -   , -   , -   , -   ," 75,000 "," 1,822,500 ", 0 
AGTL,AL-GHAZI TRACTORS LIMITED," 1,000 "," 374,250 ", -   , -   , -   , -   , -   ," 1,000 "," 374,250 ", 0 
AHCL,ARIF HABIB CORPORATION LIMITED," 113,000 "," 4,211,963 ", 500 ," 16,684 ", -   , -   , -   ," 112,500 "," 4,195,279 ", 0 
AHL,ARIF HABIB LIMITED," 54,500 "," 2,405,400 "," 4,000 "," 169,275 "," 3,000 "," 124,313 ", 15 ," 53,500 "," 2,360,438 ", 0 
AICL,ADAMJEE INSURANCE COMPANY LIMITED," 267,500 "," 11,392,568 "," 5,500 "," 225,049 "," 3,000 "," 121,725 ", 15 ," 265,000 "," 11,289,244 ", 1 
AKBL,ASKARI BANK LIMITED," 160,500 "," 2,664,030 "," 5,000 "," 80,340 ", -   , -   , -   ," 155,500 "," 2,583,690 ", 0 
AKDCL,AKD CAPITAL LIMITED, 500 ," 128,100 ", -   , -   , -   , -   , -   , 500 ," 128,100 ", 0 
AKZO,AKZO NOBEL PAKISTAN LIMITED," 5,600 "," 1,404,371 ", 500 ," 142,875 "," 3,500 "," 522,375 ", 14 ," 8,600 "," 1,783,871 ", 0 
ALNRS,AL-NOOR SUGAR MILLS LIMITED," 1,000 "," 47,243 ", -   , -   , -   , -   , -   ," 1,000 "," 47,243 ", -   
ALTN,ALTERN ENERGY LTD.," 1,064,000 "," 27,459,745 ", -   , -   , -   , -   , -   ," 1,064,000 "," 27,459,745 ", 3 
ANL,AZGARD NINE LIMITED," 37,000 "," 123,663 ", -   , -   , -   , -   , -   ," 37,000 "," 123,663 ", 0 
ARPL,ARCHROMA PAKISTAN LIMITED, 500 ," 236,239 ", -   , -   , -   , -   , -   , 500 ," 236,239 ", 0 
ATRL,ATTOCK REFINERY LIMITED," 13,000 "," 2,051,415 ", -   , -   , -   , -   , -   ," 13,000 "," 2,051,415 ", 0 
AVN,AVANCEON LIMITED," 165,000 "," 4,474,577 "," 2,000 "," 54,000 ", -   , -   , -   ," 163,000 "," 4,420,577 ", 0 
BAFL,BANK ALFALAH LIMITED," 228,000 "," 4,762,226 ", -   , -   ," 13,000 "," 258,278 ", 15 ," 241,000 "," 5,020,504 ", 0 
BERG,BERGER PAINTS PAKISTAN LIMITED," 117,500 "," 8,561,659 "," 2,000 "," 133,515 "," 3,500 "," 234,806 ", 15 ," 119,000 "," 8,662,950 ", 1 
BGL,BALOCHISTAN GLASS LIMITED," 1,000 "," 3,132 ", -   , -   , -   , -   , -   ," 1,000 "," 3,132 ", -   
BIFO,BIAFO INDUSTRIES LIMITED," 3,000 "," 633,111 ", -   , -   , -   , -   , -   ," 3,000 "," 633,111 ", 0 
BIPL,BANKISLAMI PAKISTAN LIMITED," 1,000 "," 8,250 ", -   , -   , -   , -   , -   ," 1,000 "," 8,250 ", -   
BNWM,BANNU WOOLLEN MILLS LIMITED," 22,000 "," 950,465 ", -   , -   ," 5,000 "," 180,188 ", 15 ," 27,000 "," 1,130,653 ", 0 
BOP,THE BANK OF PUNJAB," 4,379,500 "," 32,496,574 ", -   , -   ," 38,000 "," 236,550 ", 15 ," 4,417,500 "," 32,733,124 ", 3 
BPL,BURSHANE LPG (PAKISTAN) LIMITED," 1,200 "," 93,303 ", -   , -   , -   , -   , -   ," 1,200 "," 93,303 ", 0 
BYCO,BYCO PETROLEUM PAKISTAN LIMITED," 1,377,000 "," 21,162,379 "," 149,500 "," 2,024,494 "," 35,500 "," 455,288 ", 15 ," 1,263,000 "," 19,593,173 ", 2 
CENI,CENTURY INSURANCE COMPANY LIMITED," 5,000 "," 102,713 ", -   , -   , -   , -   , -   ," 5,000 "," 102,713 ", 0 
CEPB,CENTURY PAPER AND BOARD MILLS LIMITED," 1,500 "," 55,463 ", -   , -   , -   , -   , -   ," 1,500 "," 55,463 ", 0 
CHBL,CHENAB LIMITED," 1,500 "," 3,354 ", -   , -   , -   , -   , -   ," 1,500 "," 3,354 ", -   
CHCC,CHERAT CEMENT COMPANY LIMITED, 500 ," 36,536 ", -   , -   , 500 ," 34,125 ", 15 ," 1,000 "," 70,661 ", 0 
CLOV,CLOVER PAKISTAN LIMITED," 22,500 "," 935,295 "," 7,000 "," 288,623 ", -   , -   , -   ," 15,500 "," 646,673 ", 0 
CPPL,CHERAT PACKAGING LIMITED," 15,500 "," 3,699,420 ", -   , -   , -   , -   , -   ," 15,500 "," 3,699,420 ", 0 
CSAP,CRESCENT STEEL AND ALLIED PRODUCTS LTD.," 196,600 "," 14,450,189 ", 600 ," 54,900 ", 600 ," 53,100 ", 15 ," 196,600 "," 14,448,389 ", 1 
CSIL,CRESCENT STAR INSURANCE LIMITED," 127,500 "," 621,810 ", -   , -   , -   , -   , -   ," 127,500 "," 621,810 ", 0 
CSM,CRESCENT STANDARD MODARABA," 45,000 "," 44,955 ", -   , -   , -   , -   , -   ," 45,000 "," 44,955 ", -   
CYAN,CYAN LIMITED," 8,000 "," 525,831 ", -   , -   , -   , -   , -   ," 8,000 "," 525,831 ", 0 
DAWH,DAWOOD HERCULES CORPORATION LIMITED," 76,000 "," 6,883,593 ", -   , -   , -   , -   , -   ," 76,000 "," 6,883,593 ", 1 
DCH,DESCON CHEMICALS LIMITED," 52,500 "," 239,411 ", -   , -   , -   , -   , -   ," 52,500 "," 239,411 ", 0 
DCL,DEWAN CEMENT LIMITED," 1,467,500 "," 15,341,259 "," 144,000 "," 1,412,438 "," 46,500 "," 412,223 ", 15 ," 1,370,000 "," 14,341,044 ", 1 
DFML,DEWAN FAROOQUE MOTORS LIMITED," 632,000 "," 4,120,314 ", -   , -   ," 3,000 "," 18,684 ", 15 ," 635,000 "," 4,138,998 ", 0 
DGKC,D.G. KHAN CEMENT COMPANY LIMITED," 82,400 "," 9,554,499 "," 7,200 "," 834,285 "," 10,000 "," 1,155,000 ", 15 ," 85,200 "," 9,875,214 ", 1 
DKL,DREKKAR KINGSWAY LIMITED," 1,000 "," 7,000 ", -   , -   , -   , -   , -   ," 1,000 "," 7,000 ", -   
DOL,DESCON OXYCHEM LIMITED," 432,000 "," 1,669,928 "," 41,500 "," 174,936 ", -   , -   , -   ," 390,500 "," 1,494,991 ", 0 
DSFL,DEWAN SALMAN FIBRE LIMITED," 5,000 "," 4,800 ", -   , -   , -   , -   , -   ," 5,000 "," 4,800 ", -   
DSIL,D. S. INDUSTRIES LIMITED," 3,500 "," 7,791 ", -   , -   , -   , -   , -   ," 3,500 "," 7,791 ", -   
DYNO,DYNEA PAKISTAN LIMITED," 3,500 "," 91,875 ", -   , -   , -   , -   , -   ," 3,500 "," 91,875 ", 0 
EFERT,ENGRO FERTILIZERS LIMITED," 332,500 "," 19,973,869 "," 5,000 "," 304,313 "," 10,500 "," 564,086 ", 15 ," 338,000 "," 20,233,643 ", 2 
EFOODS,ENGRO FOODS LIMITED," 107,800 "," 12,242,854 ", -   , -   , -   , -   , -   ," 107,800 "," 12,242,854 ", 1 
EFUG,EFU GENERAL INSURANCE LIMITED," 9,900 "," 1,119,855 "," 1,900 "," 237,975 ", -   , -   , -   ," 8,000 "," 881,880 ", 0 
ENGRO,ENGRO CORPORATION LIMITED," 62,000 "," 12,789,211 "," 11,300 "," 2,256,596 "," 24,600 "," 5,000,504 ", 15 ," 75,300 "," 15,533,119 ", 1 
EPCL,ENGRO POLYMER & CHEMICALS LIMITED," 944,500 "," 7,375,301 ", -   , -   , -   , -   , -   ," 944,500 "," 7,375,301 ", 1 
EPQL,ENGRO POWERGEN QADIRPUR LIMITED," 2,000 "," 58,800 ", -   , -   , -   , -   , -   ," 2,000 "," 58,800 ", 0 
FABL,FAYSAL BANK LIMITED," 138,000 "," 1,658,700 "," 25,000 "," 287,250 "," 16,000 "," 187,080 ", 15 ," 129,000 "," 1,558,530 ", 0 
FATIMA,FATIMA FERTILIZER COMPANY LIMITED," 16,500 "," 473,138 ", -   , -   , -   , -   , -   ," 16,500 "," 473,138 ", 0 
FCCL,FAUJI CEMENT COMPANY LIMITED," 22,000 "," 645,150 ", -   , -   ," 30,000 "," 889,875 ", 15 ," 52,000 "," 1,535,025 ", 0 
FCIBL,FIRST CREDIT AND INVESTMENT BANK LIMITED," 5,000 "," 18,232 ", -   , -   , -   , -   , -   ," 5,000 "," 18,232 ", -   
FCSC,FIRST CAPITAL SECURITIES CORPORATION LTD," 95,000 "," 135,360 ", -   , -   , -   , -   , -   ," 95,000 "," 135,360 ", 0 
FECTC,FECTO CEMENT LIMITED," 17,500 "," 956,025 ", -   , -   , -   , -   , -   ," 17,500 "," 956,025 ", 0 
FEROZ,FEROZSONS LABORATORIES LIMITED," 1,800 "," 1,145,813 ", 300 ," 221,025 ", -   , -   , -   ," 1,500 "," 924,788 ", 0 
FFBL,FAUJI FERTILIZER BIN QASIM LIMITED," 55,500 "," 2,035,166 "," 2,500 "," 88,909 "," 2,000 "," 70,050 ", 15 ," 55,000 "," 2,016,308 ", 0 
FFC,FAUJI FERTILIZER COMPANY LIMITED," 23,900 "," 2,063,180 ", 100 ," 8,085 "," 10,000 "," 787,500 ", 15 ," 33,800 "," 2,842,595 ", 0 
GADT,GADOON TEXTILE MILLS LIMITED," 2,000 "," 203,250 ", -   , -   , -   , -   , -   ," 2,000 "," 203,250 ", 0 
GAIL,GHANI AUTOMOBILE INDUSTRIES LIMITED," 42,000 "," 242,279 "," 4,000 "," 21,788 "," 4,000 "," 21,300 ", 15 ," 42,000 "," 241,791 ", 0 
GASF,GOLDEN ARROW SELECTED STOCK FUND LIMITED," 15,500 "," 91,091 ", -   , -   ," 1,000 "," 5,183 ", 15 ," 16,500 "," 96,274 ", 0 
GATM,GUL AHMED TEXTILE MILLS LIMITED," 20,000 "," 558,313 "," 11,000 "," 306,460 "," 5,000 "," 143,150 ", 15 ," 14,000 "," 395,003 ", 0 
GGGL,GHANI GLOBAL GLASS LIMITED," 72,500 "," 895,325 ", -   , -   , -   , -   , -   ," 72,500 "," 895,325 ", 0 
GGL,GHANI GASES LIMITED," 453,000 "," 9,029,074 ", -   , -   , -   , -   , -   ," 453,000 "," 9,029,074 ", 1 
GHGL,GHANI GLASS LIMITED, -   , -   , -   , -   , 300 ," 20,225 ", 15 , 300 ," 20,225 ", -   
GHNI,GHANDHARA INDUSTRIES LIMITED," 42,600 "," 12,551,544 "," 8,500 "," 2,516,446 "," 2,300 "," 686,550 ", 15 ," 36,400 "," 10,721,648 ", 1 
GHNL,GHANDHARA NISSAN LIMITED," 43,700 "," 5,663,407 "," 2,100 "," 260,201 "," 11,500 "," 1,415,276 ", 15 ," 53,100 "," 6,818,483 ", 1 
GLAXO,GLAXOSMITHKLINE PAKISTAN LIMITED," 53,500 "," 8,876,890 "," 7,500 "," 1,240,313 ", -   , -   , -   ," 46,000 "," 7,636,577 ", 1 
GTYR,THE GEN. TYRE AND RUBBER CO. OF PAK. LTD," 2,000 "," 244,593 ", -   , -   ," 1,600 "," 183,600 ", 15 ," 3,600 "," 428,193 ", 0 
GWLC,GHARIBWAL CEMENT LIMITED," 54,500 "," 1,649,649 ", -   , -   , -   , -   , -   ," 54,500 "," 1,649,649 ", 0 
HASCOL,HASCOL PETROLEUM LIMITED," 148,600 "," 15,986,940 "," 3,500 "," 372,054 "," 4,000 "," 406,470 ", 15 ," 149,100 "," 16,021,356 ", 2 
HBL,HABIB BANK LIMITED," 8,100 "," 1,254,195 ", -   , -   , -   , -   , -   ," 8,100 "," 1,254,195 ", 0 
HCAR,HONDA  ATLAS CARS (PAKISTAN) LIMITED," 21,000 "," 4,132,157 "," 1,600 "," 325,274 "," 1,000 "," 188,250 ", 15 ," 20,400 "," 3,995,133 ", 0 
HINOON,HIGHNOON LABORATORIES LIMITED," 13,300 "," 5,304,948 ", 100 ," 39,565 ", -   , -   , -   ," 13,200 "," 5,265,383 ", 0 
